,date_time,gm_open,gm_close,johnson_open,johnson_close,jacobs_open,jacobs_close,albemarle_open,albemarle_close,disney_open,disney_close,att_open,att_close,aa_open,aa_close
166,2020-04-11,24.16,24.06,144.01,141.23,81.87,81.31,62.35,67.02,107.92,104.5,30.0,30.73,12.64,12.51
167,2020-04-12,24.16,24.06,144.01,141.23,81.87,81.31,62.35,67.02,107.92,104.5,30.0,30.73,12.64,12.51
168,2020-04-13,24.04,23.01,140.0,139.77,80.59,79.83,66.78,63.31,104.71,103.5,30.5,30.19,12.9,11.56
169,2020-04-14,23.6,22.98,145.42,146.03,81.35,81.81,64.75,63.68,105.5,106.03,30.69,31.13,12.22,11.95
170,2020-04-15,21.92,21.66,145.55,147.66,79.72,80.02,61.44,58.25,104.39,103.37,30.63,30.09,12.52,12.29
171,2020-04-16,21.64,20.87,148.31,149.67,79.5,79.05,58.26,58.57,103.53,102.02,30.28,30.16,11.91,11.07
172,2020-04-17,21.92,22.48,151.99,152.02,81.22,84.2,60.58,61.47,106.21,106.63,30.85,31.23,11.87,11.57
173,2020-04-18,21.92,22.48,151.99,152.02,81.22,84.2,60.58,61.47,106.21,106.63,30.85,31.23,11.87,11.57
174,2020-04-19,21.92,22.48,151.99,152.02,81.22,84.2,60.58,61.47,106.21,106.63,30.85,31.23,11.87,11.57
175,2020-04-20,21.72,22.38,150.93,151.67,83.7,80.7,60.0,60.0,103.58,102.26,30.85,30.98,11.15,11.06
176,2020-04-21,21.27,21.24,150.12,149.68,79.73,78.21,58.5,57.86,100.01,100.54,30.51,29.87,10.8,11.0
177,2020-04-22,21.65,21.3,152.81,152.99,79.7,79.51,58.96,59.45,101.8,100.99,30.9,29.47,11.09,10.27
178,2020-04-23,21.55,21.52,154.25,155.51,80.56,79.75,60.67,60.66,100.65,101.0,29.44,29.5,10.36,10.25
